design_object_count,layout_count,composition
16209,7040,"Group:[types=['SVG'], roles=['Decoration']]"
12543,3244,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Marker']]"
5645,2608,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Description']]"
5627,2576,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Title']]"
3661,1920,"Group:[types=['SVG'], roles=['Background']]"
3380,1746,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Highlight']]"
3217,1309,"Group:[types=['SVG', 'VStack'], roles=['Decoration', 'Description']]"
2875,1195,"Group:[types=['HStack', 'SVG'], roles=['Description', 'Separator']]"
2572,1417,"Group:[types=['Group'], roles=['Description']]"
2414,1244,"Group:[types=['Image', 'SVG'], roles=['Decoration']]"
2294,1401,"Group:[types=['Text'], roles=['Subtitle', 'Title']]"
2234,946,"Group:[types=['Text'], roles=['Description', 'Title']]"
2133,1045,"Group:[types=['Group', 'VStack'], roles=['Decoration', 'Description']]"
1895,749,"Group:[types=['HStack', 'SVG'], roles=['Decoration', 'Description']]"
1853,912,"Group:[types=['Group'], roles=['Description', 'Title']]"
1852,856,"Group:[types=['Group', 'VStack'], roles=['Background', 'Description']]"
1773,839,"Group:[types=['SVG', 'VStack'], roles=['Background', 'Decoration', 'Description']]"
1538,828,"Group:[types=['SVG', 'Text'], roles=['Background', 'Description', 'Title']]"
1500,859,"Group:[types=['SVG'], roles=['Background', 'Decoration']]"
1486,755,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Title']]"
1353,640,"Group:[types=['Group', 'SVG'], roles=['Decoration']]"
1343,734,"Group:[types=['SVG'], roles=['Separator']]"
1337,782,"Group:[types=['SVG', 'Text'], roles=['Decoration']]"
1336,585,"Group:[types=['Text'], roles=['Description']]"
1307,598,"Group:[types=['Group', 'Text'], roles=['Description', 'Title']]"
1283,614,"Group:[types=['SVG', 'VStack'], roles=['Description', 'Separator']]"
1258,630,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Description', 'Title']]"
1229,468,"Group:[types=['Text'], roles=['Description', 'Highlight']]"
1209,556,"Group:[types=['Group', 'SVG'], roles=['Decoration', 'Description']]"
1206,591,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Description']]"
1204,665,"Group:[types=['Group'], roles=['Decoration', 'Description']]"
1119,628,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Highlight']]"
1044,674,"Group:[types=['Image'], roles=['Decoration']]"
1006,406,"Group:[types=['SVG', 'Text'], roles=['Description', 'Separator']]"
955,258,"Group:[types=['SVG'], roles=['Decoration', 'Marker']]"
934,501,"Group:[types=['Group', 'VStack'], roles=['Description', 'Title']]"
889,546,"Group:[types=['Group'], roles=['Decoration']]"
880,501,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Title']]"
844,537,"Group:[types=['Group', 'VStack'], roles=['Description']]"
839,257,"Group:[types=['Group', 'VStack'], roles=['Description', 'Marker']]"
823,415,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Background', 'Description', 'Title']]"
794,453,"Group:[types=['Group'], roles=['Background', 'Description']]"
749,386,"Group:[types=['Group', 'HStack'], roles=['Background', 'Description']]"
715,375,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Background', 'Decoration', 'Description']]"
695,453,"Group:[types=['Text'], roles=['Highlight', 'Title']]"
676,219,"Group:[types=['Group'], roles=['Description', 'Marker']]"
650,281,"Group:[types=['Group', 'SVG'], roles=['Description', 'Separator']]"
647,281,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Description', 'Marker']]"
641,379,"Group:[types=['HStack', 'SVG'], roles=['Background', 'Description', 'Separator']]"
633,278,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Description', 'Highlight']]"
622,256,"Group:[types=['Group', 'Text'], roles=['Decoration', 'Description']]"
606,318,"Group:[types=['VStack'], roles=['Description']]"
596,306,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Description', 'Title']]"
586,289,"Group:[types=['Group', 'HStack'], roles=['Decoration', 'Description']]"
583,286,"Group:[types=['SVG', 'Text'], roles=['Background', 'Description', 'Highlight']]"
582,432,"Group:[types=['Group'], roles=['Decoration', 'Title']]"
574,352,"Group:[types=['Group', 'SVG'], roles=['Decoration', 'Title']]"
565,310,"Group:[types=['Group', 'SVG'], roles=['Background', 'Decoration', 'Description']]"
563,332,"Group:[types=['Group'], roles=['Description', 'Highlight']]"
544,216,"Group:[types=['Text'], roles=['Description', 'Marker']]"
